order_id,user_id,menu_id,quantity,price,total_amount,order_date,payment_method
1,1213,1408,3,355,1065,2024-03-12,COD
2,1998,1786,1,103,103,2025-04-28,Card
3,343,1194,3,324,972,2025-02-20,COD
4,1904,1315,4,488,1952,2024-12-30,UPI
5,1485,1271,2,205,410,2024-06-02,Card
6,1991,1723,3,142,426,2024-09-20,COD
7,1234,1516,1,268,268,2024-01-02,Card
8,1903,581,1,313,313,2024-02-20,UPI
9,1198,579,1,400,400,2025-04-13,UPI
10,560,107,4,396,1584,2024-09-12,UPI
11,1852,424,2,513,1026,2025-01-12,UPI
12,1730,715,3,521,1563,2025-05-02,Card
13,1052,464,3,426,1278,2024-06-14,Card
14,1901,1902,1,432,432,2024-10-29,COD
15,1640,274,2,529,1058,2024-10-18,UPI
16,1342,481,1,211,211,2025-04-17,UPI
17,72,105,2,151,302,2025-01-21,Card
18,846,1605,2,545,1090,2025-04-26,UPI
19,1662,1586,2,363,726,2024-07-10,COD
20,498,470,1,215,215,2024-08-03,Card
21,1774,1816,4,420,1680,2024-03-07,Card
22,1356,1334,2,594,1188,2025-02-25,UPI
23,927,1547,3,240,720,2025-01-09,Card
24,1660,823,1,128,128,2024-04-16,COD
25,1304,655,3,132,396,2024-12-18,Card
26,799,1792,4,241,964,2025-05-15,Card
27,144,986,1,188,188,2024-09-05,COD
28,1990,1992,1,570,570,2024-06-16,UPI
29,1613,355,3,288,864,2024-07-28,UPI
30,1173,1891,2,580,1160,2024-12-20,UPI
31,1487,1664,3,388,1164,2024-07-25,UPI
32,1262,1940,2,262,524,2025-03-29,COD
33,1487,1237,2,201,402,2025-01-15,COD
34,1788,999,3,139,417,2024-05-19,COD
35,359,626,4,425,1700,2024-01-18,Card
36,274,1265,4,147,588,2024-06-05,Card
37,1250,1168,1,449,449,2024-06-25,Card
38,496,224,1,215,215,2024-08-24,UPI
39,666,1252,4,399,1596,2024-11-04,UPI
40,208,1031,1,348,348,2025-01-19,COD
41,610,848,2,482,964,2024-06-10,Card
42,1295,1218,2,440,880,2024-03-26,COD
43,1645,1615,2,240,480,2024-01-25,Card
44,889,236,2,229,458,2024-01-06,COD
45,1214,83,1,210,210,2024-08-21,COD
46,882,713,2,200,400,2024-09-27,UPI
47,731,974,1,173,173,2024-07-06,UPI
48,1591,1615,4,240,960,2025-03-09,UPI
49,1445,165,3,258,774,2024-10-10,COD
50,66,1153,4,174,696,2024-03-15,COD
51,547,892,2,272,544,2024-06-16,Card
52,447,1145,1,125,125,2024-04-20,Card
53,1117,1021,2,197,394,2025-01-23,Card
54,782,1706,1,445,445,2024-04-28,COD
55,820,1816,4,420,1680,2025-02-28,Card
56,1914,810,3,193,579,2024-12-22,UPI
57,1670,433,3,596,1788,2024-01-13,COD
58,148,1981,1,148,148,2024-06-11,Card
59,1859,113,4,304,1216,2024-11-08,COD
60,1069,239,1,277,277,2024-11-26,Card
61,1377,498,4,224,896,2024-12-09,COD
62,1865,1826,3,313,939,2025-03-20,Card
63,720,532,2,341,682,2024-12-28,COD
64,1410,1094,1,204,204,2024-12-24,COD
65,1323,254,1,144,144,2024-10-13,COD
66,1575,250,1,307,307,2025-05-03,UPI
67,361,1513,3,218,654,2024-07-27,UPI
68,172,235,2,104,208,2024-11-04,UPI
69,1956,927,1,291,291,2024-04-04,UPI
70,442,439,2,384,768,2025-04-22,COD
71,6,744,1,419,419,2024-04-29,UPI
72,1734,1277,2,464,928,2024-03-26,UPI
73,487,1656,4,161,644,2024-03-15,UPI
74,1329,710,1,167,167,2024-02-06,COD
75,767,584,3,353,1059,2024-01-25,UPI
76,1648,966,1,297,297,2024-02-11,COD
77,95,1627,1,221,221,2024-09-12,UPI
78,235,1288,1,429,429,2024-01-10,UPI
79,1311,834,4,485,1940,2024-02-28,UPI
80,34,1122,1,273,273,2024-11-01,Card
81,208,1384,3,539,1617,2024-06-05,UPI
82,1551,762,1,108,108,2024-02-21,COD
83,698,689,2,261,522,2024-09-17,COD
84,845,188,3,389,1167,2024-10-01,COD
85,180,1703,4,135,540,2024-02-20,UPI
86,108,1420,1,299,299,2025-03-27,UPI
87,1311,79,2,491,982,2025-02-23,UPI
88,851,1393,3,302,906,2024-11-17,COD
89,1145,1593,2,403,806,2024-05-25,COD
90,165,1077,1,325,325,2024-11-12,Card
91,1050,630,4,425,1700,2025-01-28,Card
92,1258,557,4,406,1624,2025-04-28,Card
93,508,1726,1,338,338,2024-07-06,UPI
94,1526,349,2,165,330,2024-09-14,COD
95,310,929,2,595,1190,2024-11-14,UPI
96,1240,26,4,238,952,2024-07-12,Card
97,1053,1647,4,473,1892,2025-05-08,COD
98,1184,582,1,524,524,2025-01-07,UPI
99,4,174,2,409,818,2024-12-24,UPI
100,1433,996,2,149,298,2024-02-23,UPI
101,1731,562,1,188,188,2024-04-08,COD
102,265,1803,3,254,762,2024-03-10,Card
103,297,1100,2,443,886,2025-04-15,COD
104,216,1201,4,399,1596,2024-09-01,UPI
105,107,1639,4,354,1416,2024-04-22,COD
106,1128,1759,4,502,2008,2025-03-03,COD
107,447,1488,3,341,1023,2024-04-16,Card
108,1760,593,1,165,165,2024-11-20,COD
109,1580,1976,4,214,856,2025-04-28,COD
110,1523,352,4,174,696,2024-10-18,COD
111,1367,575,2,585,1170,2025-05-01,COD
112,556,906,4,324,1296,2025-05-01,UPI
113,1210,1277,1,464,464,2024-08-16,Card
114,877,833,4,371,1484,2025-01-26,Card
115,797,354,4,293,1172,2024-04-08,UPI
116,153,1317,4,290,1160,2024-12-09,COD
117,1073,1173,3,169,507,2024-04-29,COD
118,1458,1567,4,100,400,2025-01-22,UPI
119,583,212,1,453,453,2024-07-17,UPI
120,1887,430,4,497,1988,2024-10-11,Card
121,806,515,1,135,135,2025-04-18,UPI
122,810,202,3,577,1731,2024-08-18,COD
123,591,1714,3,153,459,2025-03-16,Card
124,1088,947,2,245,490,2024-06-26,Card
125,479,711,1,559,559,2024-05-08,COD
126,1035,1918,1,560,560,2025-01-21,Card
127,1557,1372,3,567,1701,2025-04-10,Card
128,112,79,3,491,1473,2024-10-04,Card
129,832,367,1,468,468,2024-06-20,Card
130,4,652,3,339,1017,2025-01-20,UPI
131,1051,224,4,215,860,2024-08-18,COD
132,1029,753,3,237,711,2024-05-17,Card
133,443,1031,3,348,1044,2025-02-26,UPI
134,1903,827,4,380,1520,2024-10-03,COD
135,655,976,1,405,405,2024-03-02,Card
136,1238,928,4,235,940,2024-12-27,COD
137,1283,1660,1,600,600,2024-05-12,UPI
138,444,1,4,261,1044,2024-10-04,UPI
