restaurant_id,restaurant_name,city,cuisine
1,Biryani Palace 1,Hyderabad,Chinese
2,City Diner 2,Lucknow,Chinese
3,Urban Bites 3,Delhi,Italian
4,Spice Hub 4,Kolkata,Fast Food
5,Urban Bites 5,Hyderabad,Italian
6,Tandoori Nights 6,Chennai,Chinese
7,Food Junction 7,Bangalore,Indian
8,Urban Bites 8,Bangalore,Fast Food
9,Urban Bites 9,Hyderabad,Fast Food
10,Royal Kitchen 10,Pune,Chinese
11,Tandoori Nights 11,Hyderabad,Fast Food
12,Curry House 12,Delhi,Chinese
13,Urban Bites 13,Chennai,Indian
14,Food Junction 14,Hyderabad,Indian
15,Food Fiesta 15,Ahmedabad,Indian
16,Tandoori Nights 16,Delhi,Chinese
17,City Diner 17,Delhi,Fast Food
18,Food Fiesta 18,Bangalore,Italian
19,Food Fiesta 19,Hyderabad,Fast Food
20,Tandoori Nights 20,Chennai,Indian
21,Tandoori Nights 21,Chennai,Indian
22,Royal Kitchen 22,Lucknow,Indian
23,Royal Kitchen 23,Delhi,Indian
24,Curry House 24,Pune,Indian
25,Tandoori Nights 25,Kolkata,Italian
26,Spice Hub 26,Delhi,Italian
27,Curry House 27,Pune,Chinese
28,Royal Kitchen 28,Kolkata,Italian
29,Food Junction 29,Hyderabad,Fast Food
30,Food Fiesta 30,Kolkata,Chinese
31,City Diner 31,Jaipur,Fast Food
32,Food Fiesta 32,Hyderabad,Fast Food
33,Tandoori Nights 33,Mumbai,Fast Food
34,Food Fiesta 34,Hyderabad,Chinese
35,City Diner 35,Bangalore,Indian
36,Urban Bites 36,Kolkata,Italian
37,Curry House 37,Mumbai,Italian
38,Taste Town 38,Pune,Italian
39,Spice Hub 39,Chennai,Fast Food
40,Biryani Palace 40,Chennai,Italian
41,Food Junction 41,Delhi,Italian
42,Food Fiesta 42,Bangalore,Chinese
43,City Diner 43,Pune,Fast Food
44,Spice Hub 44,Hyderabad,Chinese
45,Taste Town 45,Mumbai,Chinese
46,Food Junction 46,Hyderabad,Chinese
47,Spice Hub 47,Jaipur,Italian
48,Urban Bites 48,Delhi,Fast Food
49,City Diner 49,Hyderabad,Indian
50,City Diner 50,Delhi,Indian
51,Spice Hub 51,Hyderabad,Italian
52,Food Junction 52,Jaipur,Chinese
53,Curry House 53,Jaipur,Italian
54,Urban Bites 54,Ahmedabad,Italian
55,Royal Kitchen 55,Chennai,Italian
56,Taste Town 56,Hyderabad,Indian
57,Food Fiesta 57,Bangalore,Italian
58,Royal Kitchen 58,Pune,Italian
59,Spice Hub 59,Lucknow,Indian
60,Food Junction 60,Jaipur,Italian
61,Tandoori Nights 61,Pune,Chinese
62,Royal Kitchen 62,Lucknow,Italian
63,Food Fiesta 63,Lucknow,Italian
64,Urban Bites 64,Bangalore,Indian
65,City Diner 65,Bangalore,Chinese
66,Royal Kitchen 66,Jaipur,Fast Food
67,Royal Kitchen 67,Lucknow,Italian
68,Royal Kitchen 68,Kolkata,Fast Food
69,Spice Hub 69,Kolkata,Fast Food
70,Spice Hub 70,Ahmedabad,Indian
71,Royal Kitchen 71,Ahmedabad,Chinese
72,Food Junction 72,Mumbai,Chinese
73,Curry House 73,Kolkata,Italian
74,Royal Kitchen 74,Bangalore,Italian
75,Food Junction 75,Bangalore,Fast Food
76,Curry House 76,Lucknow,Chinese
77,Curry House 77,Delhi,Indian
78,Food Junction 78,Bangalore,Fast Food
79,Biryani Palace 79,Lucknow,Indian
80,Food Fiesta 80,Delhi,Chinese
81,Food Junction 81,Chennai,Indian
82,City Diner 82,Kolkata,Chinese
83,City Diner 83,Hyderabad,Chinese
84,Urban Bites 84,Lucknow,Fast Food
85,Urban Bites 85,Ahmedabad,Chinese
86,Urban Bites 86,Pune,Indian
87,Curry House 87,Delhi,Fast Food
88,Biryani Palace 88,Mumbai,Indian
89,Biryani Palace 89,Bangalore,Fast Food
90,Royal Kitchen 90,Delhi,Indian
91,Tandoori Nights 91,Delhi,Chinese
92,Taste Town 92,Ahmedabad,Italian
93,Tandoori Nights 93,Mumbai,Italian
94,Urban Bites 94,Delhi,Indian
95,Biryani Palace 95,Bangalore,Italian
96,Food Junction 96,Lucknow,Indian
97,Curry House 97,Bangalore,Chinese
98,Taste Town 98,Pune,Fast Food
99,Curry House 99,Ahmedabad,Indian
100,City Diner 100,Mumbai,Italian
101,City Diner 101,Lucknow,Chinese
102,Spice Hub 102,Lucknow,Italian
103,City Diner 103,Chennai,Chinese
104,Spice Hub 104,Kolkata,Chinese
105,Curry House 105,Ahmedabad,Italian
106,Tandoori Nights 106,Jaipur,Fast Food
107,Biryani Palace 107,Pune,Fast Food
108,Food Junction 108,Mumbai,Indian
109,Taste Town 109,Pune,Chinese
110,Spice Hub 110,Ahmedabad,Indian
111,City Diner 111,Pune,Chinese
112,City Diner 112,Jaipur,Fast Food
113,Spice Hub 113,Delhi,Fast Food
114,City Diner 114,Chennai,Italian
115,Food Junction 115,Mumbai,Italian
